,MARKA,SATIŞ
0,BENTLEY,19.0
1,BMC,0.0
2,BMW,7.256
3,CHEVROLET,4.963
4,CHRYSLER,427.0
5,CITROEN,8.492
6,DACIA,3.688
7,DAIHATSU,1.843
8,DODGE,676.0
9,FERRARI,29.0
10,FIAT,36.516
11,FORD,32.756
12,GAZ,0.0
13,HONDA,22.102
14,HYUNDAI,26.33
15,ISUZU,0.0
16,IVECO,0.0
17,JAGUAR,374.0
18,JEEP,950.0
19,KARSAN,0.0
20,KIA,10.319
21,LADA,845.0
22,LAMBORGHINI,3.0
23,LANCIA,71.0
24,LAND ROVER,2.259
25,MAHINDRA,0.0
26,MASERATI,28.0
27,MAZDA,1.029
28,MERCEDES-BENZ,4.64
29,MINI,804.0
30,MITSUBISHI,1.573
31,NISSAN,4.668
32,OPEL,27.761
33,OTOKAR,0.0
34,PEUGEOT,13.417
35,PORSCHE,213.0
36,PROTON,766.0
37,RENAULT,59.921
38,SAAB,98.0
39,SEAT,3.628
40,SKODA,5.465
41,SMART,73.0
42,SUBARU,2.295
43,SUZUKI,3.764
44,TATA,1.567
45,TOYOTA,29.585
46,VOLKSWAGEN,26.739
47,VOLVO,2.747
