,MARKA,SATIŞ
0,BMC,0.0
1,BMW,6.729
2,CHERY,2.361
3,CHEVROLET,10.408
4,CHRYSLER,212.0
5,CITROEN,6.627
6,DACIA,5.873
7,DAIHATSU,830.0
8,DFM,0.0
9,DODGE,339.0
10,FERRARI,17.0
11,FIAT,29.596
12,FORD,33.462
13,GEELY,1.241
14,HONDA,16.2
15,HYUNDAI,60.645
16,IKCO,203.0
17,ISUZU,0.0
18,IVECO,0.0
19,JAGUAR,263.0
20,JEEP,443.0
21,KARSAN,0.0
22,KIA,5.403
23,LADA,290.0
24,LAMBORGHINI,9.0
25,LANCIA,311.0
26,LAND ROVER,1.648
27,MAHINDRA,0.0
28,MASERATI,17.0
29,MAZDA,2.635
30,MERCEDES-BENZ,9.7
31,MINI,584.0
32,MITSUBISHI,1.4
33,NISSAN,5.949
34,OPEL,22.689
35,OTOKAR,0.0
36,PEUGEOT,13.783
37,PORSCHE,247.0
38,PROTON,906.0
39,RENAULT,59.021
40,SAAB,56.0
41,SEAT,2.568
42,SKODA,3.401
43,SMART,37.0
44,SSANGYONG,704.0
45,SUBARU,1.162
46,SUZUKI,1.576
47,TATA,947.0
48,TOYOTA,23.783
49,VOLKSWAGEN,26.752
50,VOLVO,2.271
