,MARKA,SATIŞ
0,BMC,0.0
1,BMW,5.266
2,CHEVROLET,8.65
3,CHRYSLER,1.161
4,CITROEN,9.926
5,DACIA,8.464
6,DAIHATSU,1.79
7,FIAT,35.268
8,FORD,46.213
9,GAZ,0.0
10,HONDA,18.188
11,HYUNDAI,44.058
12,ISUZU,0.0
13,IVECO,0.0
14,JAGUAR,113.0
15,KIA,11.484
16,LADA,3.562
17,LANDROVER,2.012
18,MAZDA,3.063
19,MERCEDES-BENZ,3.4
20,MG,10.0
21,MINI,310.0
22,MITSUBISHI,3.36
23,NISSAN,6.551
24,OPEL,37.32
25,OTOKAR,0.0
26,PEUGEOT,22.417
27,PORSCHE,153.0
28,PROTON,81.0
29,RENAULT,76.378
30,ROVER,65.0
31,SAAB,153.0
32,SEAT,6.246
33,SKODA,8.08
34,SMART,273.0
35,SUBARU,1.751
36,SUZUKI,1.844
37,TATA,2.165
38,TOYOTA,29.223
39,VOLKSWAGEN,31.508
40,VOLVO,2.411
