,MARKA,SATIŞ
0,BMC,0.0
1,BMW,5.158
2,CHEVROLET,4.882
3,CHRYSLER,1.485
4,CITROEN,9.718
5,DACIA,7.355
6,DAIHATSU,1.891
7,FERRARI,28.0
8,FIAT,32.742
9,FORD,38.171
10,GAZ,0.0
11,HONDA,18.891
12,HYUNDAI,34.02
13,ISUZU,0.0
14,IVECO,0.0
15,JAGUAR,836.0
16,KARSAN,0.0
17,KIA,11.689
18,LADA,1.441
19,LANDROVER,2.301
20,MASERATI,20.0
21,MAZDA,2.407
22,MERCEDES-BENZ,4.125
23,MINI,412.0
24,MITSUBISHI,1.984
25,NISSAN,5.842
26,OPEL,28.171
27,OTOKAR,0.0
28,PEUGEOT,17.585
29,PORSCHE,217.0
30,PROTON,404.0
31,RENAULT,59.407
32,SAAB,205.0
33,SEAT,4.897
34,SKODA,5.226
35,SMART,180.0
36,SUBARU,2.212
37,SUZUKI,2.381
38,TATA,1.962
39,TOYOTA,29.836
40,VOLKSWAGEN,27.624
41,VOLVO,1.844
