,MARKA,SATIŞ
0,ASKAM,0
1,AUDI,4.073
2,BMW,4.615
3,CHEVROLET,9.798
4,CHRYSLER,1.028
5,CITROEN,6.673
6,DACIA,4.088
7,DAEWOO,0
8,DAIHATSU,1.537
9,FERRARI,6
10,FIAT,39.188
11,FORD,45.233
12,GAZ,0
13,HONDA,21.183
14,HYUNDAI,40.085
15,ISUZU,0
16,JAGUAR,131
17,KIA,5.376
18,LADA,4.002
19,LANDROVER,1.474
20,MASSERATI,3
21,MAZDA,2.869
22,MERCEDES-BENZ,3.144
23,MG,7
24,MINI,438
25,MITSUBISHI,3.025
26,NISSAN,6.404
27,OPEL,51.730
28,OTOKAR,0
29,PEUGEOT,26.912
30,PORSCHE,125
31,PROTON,0
32,RENAULT,84.642
33,ROVER,192
34,SAAB,49
35,SEAT,5.792
36,SKODA,7.305
37,SMART,151
38,SUBARU,1.777
39,SUZUKI,2.106
40,TATA,0
41,TOYOTA,28.915
42,VOLKSWAGEN,33.545
43,VOLVO,2.002
